Date,Age,Income,Gender,Country
2022-06-07,59.0,,Female,Germany
2022-10-02,20.0,59634.6,Female,UK
2022-07-04,58.0,59774.2,Male,UK
2022-05-23,32.0,23602.2,Male,Germany
2022-03-19,47.0,24433.5,Female,
2022-08-14,31.0,62023.9,Female,
2022-09-14,59.0,85414.8,Male,UK
2022-03-31,69.0,80445.5,Female,USA
2022-07-29,29.0,20641.9,Male,USA
2022-05-31,45.0,36653.1,Male,Germany
2022-04-13,45.0,81097.3,Male,
2022-12-03,32.0,54517.8,Female,USA
2022-10-29,,67207.6,Male,USA
2022-05-28,20.0,68310.3,Female,Germany
2022-12-24,63.0,68174.8,Male,USA
2022-09-17,57.0,39188.8,Female,
2022-04-20,66.0,,Male,Germany
2022-08-22,63.0,23204.8,Male,USA
2022-09-13,,46959.6,Male,UK
2022-07-07,22.0,71257.8,Male,Australia
2022-07-18,48.0,,Female,Germany
2022-06-20,63.0,32964.6,Female,
2022-12-20,42.0,84504.7,Female,Australia
2022-06-18,33.0,43083.8,Female,Australia
2022-04-05,51.0,89671.8,Male,USA
2022-06-01,42.0,57715.6,Male,
2022-07-18,70.0,22293.1,Male,Australia
2022-02-18,32.0,71849.5,Female,Canada
2022-06-30,56.0,37979.7,Female,UK
2022-06-14,51.0,45577.4,Male,UK
2022-08-13,53.0,45572.5,Male,Canada
2022-05-14,53.0,,Female,Canada
2022-11-02,,37369.0,Female,Canada
2022-04-11,55.0,,Male,USA
2022-03-05,65.0,52722.6,Male,Germany
2022-01-27,,26665.3,Male,Australia
2022-11-16,38.0,91380.5,Male,
2022-09-01,68.0,68989.7,Male,Germany
2022-10-09,58.0,,Female,USA
2022-07-11,49.0,82645.3,Male,Canada
2022-11-18,,58368.8,Male,
2022-07-10,47.0,52468.1,Male,UK
2022-09-30,66.0,80272.8,Female,Germany
2022-07-27,48.0,25294.5,Female,Canada
2022-02-07,67.0,21961.6,Female,Australia
2022-10-03,65.0,97126.8,Male,USA
2022-10-05,52.0,,Female,UK
2022-05-04,55.0,41291.8,Male,Canada
2022-01-28,23.0,,Female,Canada
2022-05-16,42.0,78305.6,Male,Canada
2022-03-11,19.0,85023.8,Male,Australia
2022-11-20,50.0,,Female,Germany
2022-04-19,42.0,75111.6,Male,
2022-01-24,47.0,46782.7,Male,UK
2022-02-08,70.0,,Female,Australia
2022-01-24,22.0,43991.6,Male,
2022-07-27,27.0,,Male,
2022-03-07,45.0,26206.8,Male,
2022-08-02,26.0,86476.2,Female,UK
2022-12-12,36.0,97490.7,Female,Australia
2022-12-25,70.0,37720.8,Male,UK
2022-11-07,51.0,,Male,USA
2022-01-25,60.0,90570.3,Female,Germany
2022-06-15,38.0,68954.4,Male,UK
2022-10-17,29.0,,Male,Canada
2022-02-03,,69976.9,Male,USA
2022-09-03,40.0,80526.7,Male,Canada
2022-05-23,21.0,38940.5,Female,UK
2022-03-31,66.0,60255.1,Female,
2022-03-15,45.0,,Female,UK
2022-06-30,42.0,55543.5,Female,UK
2022-01-09,,39571.0,Female,USA
2022-08-04,23.0,38780.6,Female,Germany
2022-03-17,66.0,32254.8,Female,UK
2022-12-23,19.0,53171.4,Female,USA
2022-04-02,30.0,56146.2,Female,Australia
2022-12-15,37.0,47955.5,Male,Germany
2022-03-16,,73909.2,Female,USA
2022-01-20,68.0,57795.4,Female,Canada
2022-12-15,55.0,37944.3,Female,Australia
2022-03-08,22.0,55483.0,Male,Australia
2022-05-22,62.0,,Female,
2022-07-28,20.0,,Female,Canada
2022-12-03,38.0,63370.1,Female,
2022-01-18,37.0,,Male,Germany
2022-04-15,46.0,86213.4,Female,Canada
2022-11-03,,94229.3,Female,Australia
2022-01-27,53.0,38668.8,Male,Canada
2022-12-16,,99981.3,Male,USA
2022-10-24,,21607.2,Male,UK
2022-09-09,22.0,83360.7,Female,Canada
2022-08-07,69.0,,Male,
2022-05-06,54.0,54571.7,Female,Canada
2022-08-06,,56336.3,Female,
2022-06-19,,20803.7,Male,USA
2022-04-02,36.0,,Male,Australia
2022-06-01,38.0,81039.0,Female,Canada
2022-07-15,53.0,57700.2,Female,UK
2022-05-06,40.0,45322.2,Female,Canada
2022-05-06,18.0,,Female,UK
